package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
dev.sargunv.maplibrekmp.internal.wrapper.NativeMap,NativeMap,1,1,1,0,0,0,0,0,1,5,
dev.sargunv.maplibrekmp.MaplibreMap,MaplibreMap,1,1,1,0,0,0,0,0,1,3,
dev.sargunv.maplibrekmp.style.layer.AnchoredLayers,AnchoredLayers,1,1,1,0,0,0,0,0,1,1,
dev.sargunv.maplibrekmp.style.layer.CircleLayer,CircleLayer,1,1,1,0,0,0,1,0,2,2,
dev.sargunv.maplibrekmp.style.layer.LineLayer,LineLayer,1,1,1,0,0,0,1,0,2,2,
dev.sargunv.maplibrekmp.style.source.GeoJsonUrlSource,GeoJsonUrlSource,1,1,1,0,0,0,0,0,1,1,
dev.sargunv.maplibrekmp.style.source.GeoJsonSource,GeoJsonSource,1,1,1,0,0,0,0,0,1,1,
dev.sargunv.maplibrekmp.style.getSource,getSource,1,0,0,0,0,0,0,0,1,0,
